city,region,latitude,longitude,solrad_annual,ac_annual_ref,kwh_per_kwp
Antofagasta,Antofagasta,-23.65,-70.4,6.260674307900832,9008.872566357706,1801.7745132715413
Santiago,Metropolitana,-33.45,-70.67,5.276957402341123,7312.579916913312,1462.5159833826624
Rancagua,O'Higgins,-34.17,-70.74,5.265409702304033,7297.030996504086,1459.4061993008172
Concepción,Biobío,-36.82,-73.05,4.834485104215848,6978.581826368607,1395.7163652737213
Temuco,La Araucanía,-38.74,-72.6,4.805798371588579,6937.866684011219,1387.5733368022438
Punta Arenas,Magallanes,-53.16,-70.91,3.930569797066486,5950.260957659782,1190.0521915319564
